Title,Type,Season,Total Episodes,Watched Episodes,Status,Score,Start Date,Finish Date,Times Watched,Rewatching,Priority,Tags,Comments
"Isshun de Chiryou shiteita noni Yakutatazu to Tsuihou sareta Tensai Chiyushi, Yami Healer toshite Tanoshiku Ikiru",TV,,12,12,Completed,7,0000-00-00,0000-00-00,0,0,LOW,,
Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,TV,,12,12,Completed,8,0000-00-00,0000-00-00,0,0,LOW,,
Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu. 2,TV,,12,0,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,,
Ixion Saga DT,TV,,25,3,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,isekai,
Izure Saikyou no Renkinjutsushi?,TV,,12,12,Completed,5,0000-00-00,0000-00-00,0,0,LOW,isekai,
Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou,TV,,12,12,Completed,5,0000-00-00,0000-00-00,0,0,LOW,isekai,
Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou 2nd Season,TV,,12,0,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,isekai,
"Jitsu wa Ore, Saikyou deshita?",TV,,12,12,Completed,6,0000-00-00,0000-00-00,0,0,LOW,isekai,
JoJo no Kimyou na Bouken (TV),TV,,26,26,Completed,7,0000-00-00,0000-00-00,0,0,LOW,,
Jujutsu Kaisen,TV,,24,13,Dropped,4,0000-00-00,0000-00-00,0,0,LOW,,
Juuni Kokuki,TV,,45,0,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,isekai,
Kage no Jitsuryokusha ni Naritakute!,TV,,20,20,Completed,8,0000-00-00,0000-00-00,0,0,LOW,isekai,
Kage no Jitsuryokusha ni Naritakute! 2nd Season,TV,,12,12,Completed,8,0000-00-00,0000-00-00,0,0,LOW,isekai,
Kaifuku Jutsushi no Yarinaoshi,TV,,12,8,Dropped,4,0000-00-00,0000-00-00,0,0,LOW,isekai,
Kaijuu 8-gou,TV,,12,12,Completed,8,0000-00-00,0000-00-00,0,0,LOW,,
Kaijuu 8-gou 2nd Season,TV,,11,11,Completed,8,0000-00-00,2025-10-11,0,0,LOW,,
Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life,TV,,12,12,Completed,6,0000-00-00,0000-00-00,0,0,LOW,,
Kami-tachi ni Hirowareta Otoko,TV,,12,0,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,,
Kamierabi,TV,,12,1,Dropped,1,0000-00-00,0000-00-00,0,0,LOW,,
Kaminaki Sekai no Kamisama Katsudou,TV,,12,2,Dropped,2,0000-00-00,0000-00-00,0,0,LOW,isekai,
Kamitsubaki-shi Kensetsuchuu.,TV,,12,1,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
"Kanchigai no Atelier Meister: Eiyuu Party no Moto Zatsuyougakari ga, Jitsu wa Sentou Igai ga SSS Rank Datta to Iu Yoku Aru Hanashi",TV,,12,12,Completed,6,0000-00-00,0000-00-00,0,0,LOW,,
Kanpekisugite Kawaige ga Nai to Konyaku Haki sareta Seijo wa Ringoku ni Urareru,TV,,12,12,Completed,7,0000-00-00,0000-00-00,0,0,LOW,,
"Katainaka no Ossan, Kensei ni Naru",TV,,12,12,Completed,9,0000-00-00,0000-00-00,0,0,LOW,,
"Katainaka no Ossan, Kensei ni Naru II",TV,,0,0,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,,
Kawaisugi Crisis,TV,,12,1,Dropped,4,0000-00-00,0000-00-00,0,0,LOW,,
Kekkai Sensen,TV,,12,0,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,isekai,
Kekkon Yubiwa Monogatari,TV,,12,5,Dropped,2,0000-00-00,0000-00-00,0,0,LOW,isekai,
Kenja no Deshi wo Nanoru Kenja,TV,,12,1,Dropped,2,0000-00-00,0000-00-00,0,0,LOW,isekai,
Kenja no Mago,TV,,12,9,Dropped,5,0000-00-00,0000-00-00,0,0,LOW,,
Kenpuu Denki Berserk,TV,,25,25,Completed,10,0000-00-00,0000-00-00,0,0,LOW,,
Kikansha no Mahou wa Tokubetsu desu,TV,,12,12,Completed,9,0000-00-00,0000-00-00,0,0,LOW,,
Kill Ao,TV,,12,4,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Kill la Kill,TV,,24,24,Completed,1,0000-00-00,0000-00-00,0,0,LOW,,
Kimetsu no Yaiba,TV,,26,2,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Kimi ni Todoke,TV,,25,25,Completed,6,0000-00-00,2017-10-25,0,0,LOW,,
Kimi ni Todoke 2nd Season,TV,,12,12,Completed,6,2017-10-25,0000-00-00,0,0,LOW,,
Kimi no Na wa.,Movie,,1,1,Completed,9,0000-00-00,0000-00-00,0,0,LOW,,
